site: 14777, year: 1989, gap-filled: 137
site: 14820, year: 1973, gap-filled: 17
site: 14820, year: 1979, gap-filled: 1
site: 14820, year: 1980, gap-filled: 5
site: 14820, year: 1983, gap-filled: 3
site: 14820, year: 1989, gap-filled: 103
site: 14821, year: 1961, gap-filled: 2
site: 14821, year: 1962, gap-filled: 2
site: 14826, year: 1972, gap-filled: 13
site: 14826, year: 1973, gap-filled: 1
site: 14826, year: 1974, gap-filled: 2
site: 14826, year: 1984, gap-filled: 1
site: 14826, year: 1986, gap-filled: 4
site: 14826, year: 1987, gap-filled: 6
site: 14826, year: 1988, gap-filled: 1
site: 14827, year: 1962, gap-filled: 1
site: 14836, year: 1974, gap-filled: 1
site: 14836, year: 1975, gap-filled: 3
site: 14837, year: 1963, gap-filled: 1
site: 14839, year: 1974, gap-filled: 12
site: 14839, year: 1987, gap-filled: 1
site: 14840, year: 1962, gap-filled: 3
site: 14840, year: 1974, gap-filled: 1
site: 14840, year: 1986, gap-filled: 3
site: 14842, year: 1970, gap-filled: 3
site: 14842, year: 1973, gap-filled: 3
site: 14842, year: 1974, gap-filled: 7
site: 14842, year: 1975, gap-filled: 5
site: 14842, year: 1979, gap-filled: 1
site: 14842, year: 1981, gap-filled: 1
site: 14842, year: 1982, gap-filled: 6
site: 14842, year: 1983, gap-filled: 3
site: 14842, year: 1990, gap-filled: 3
site: 14847, year: 1968, gap-filled: 2
site: 14847, year: 1974, gap-filled: 1
site: 14847, year: 1975, gap-filled: 9
site: 14847, year: 1988, gap-filled: 1
site: 14848, year: 1962, gap-filled: 2
site: 14848, year: 1973, gap-filled: 12
site: 14848, year: 1974, gap-filled: 4
site: 14848, year: 1975, gap-filled: 2
site: 14848, year: 1983, gap-filled: 3
site: 14852, year: 1975, gap-filled: 3
site: 14852, year: 1982, gap-filled: 1
site: 14852, year: 1990, gap-filled: 1
site: 14860, year: 1973, gap-filled: 30
site: 14860, year: 1974, gap-filled: 4
site: 14860, year: 1982, gap-filled: 1
site: 14860, year: 1983, gap-filled: 3
site: 14860, year: 1987, gap-filled: 3
site: 14860, year: 1990, gap-filled: 3
site: 14895, year: 1961, gap-filled: 12
site: 14895, year: 1975, gap-filled: 2
site: 14895, year: 1982, gap-filled: 24
site: 14895, year: 1983, gap-filled: 6
site: 14895, year: 1984, gap-filled: 6
site: 14898, year: 1962, gap-filled: 3
site: 14898, year: 1964, gap-filled: 3
site: 14898, year: 1975, gap-filled: 146
site: 14898, year: 1977, gap-filled: 1
site: 14898, year: 1982, gap-filled: 9
site: 14913, year: 1962, gap-filled: 2
site: 14913, year: 1978, gap-filled: 1
site: 14913, year: 1985, gap-filled: 1
site: 14913, year: 1988, gap-filled: 7
site: 14913, year: 1989, gap-filled: 3
site: 14913, year: 1990, gap-filled: 4
site: 14922, year: 1962, gap-filled: 1
site: 14922, year: 1980, gap-filled: 1
site: 14923, year: 1973, gap-filled: 2
site: 14923, year: 1974, gap-filled: 2
site: 14923, year: 1982, gap-filled: 3
site: 14923, year: 1985, gap-filled: 3
site: 14923, year: 1988, gap-filled: 3
site: 14925, year: 1961, gap-filled: 3
site: 14925, year: 1973, gap-filled: 16
site: 14925, year: 1974, gap-filled: 1
site: 14925, year: 1975, gap-filled: 4
site: 14925, year: 1982, gap-filled: 3
site: 14925, year: 1984, gap-filled: 3
site: 14925, year: 1985, gap-filled: 6
site: 14933, year: 1963, gap-filled: 5
site: 14933, year: 1974, gap-filled: 10
site: 14933, year: 1975, gap-filled: 1
site: 14933, year: 1987, gap-filled: 4
site: 14935, year: 1961, gap-filled: 6
site: 14935, year: 1963, gap-filled: 21
site: 14935, year: 1975, gap-filled: 1
site: 14935, year: 1983, gap-filled: 1
site: 14935, year: 1984, gap-filled: 3
site: 14935, year: 1989, gap-filled: 1
site: 14936, year: 1985, gap-filled: 3
site: 14936, year: 1987, gap-filled: 2
site: 14941, year: 1986, gap-filled: 3
site: 14943, year: 1961, gap-filled: 1
site: 14943, year: 1974, gap-filled: 1
site: 14943, year: 1984, gap-filled: 3
